Asset Event Count (by Type),,,
Shows number of events per event type and asset,,,
Report Parameters,,,
StartTimeFilter: 31/12/2017 06:17:00 GMT,,,
EndTimeFilter: 07/01/2018 06:17:00 GMT,,,
Language: English,,,
Asset,,Event Type,Occurrences
HE0003 K-45159,Count: 8,,Sum: 807
HE0004 K-44380,,,
HE0004 K-44380,,Journey Periodic,442
HE0004 K-44380,,Power Up,6
HE0004 K-44380,,Ignition On,20
HE0004 K-44380,,Tag In,20
HE0004 K-44380,,Tag Out,20
HE0004 K-44380,,Ignition Off,20
HE0004 K-44380,,Heartbeat,10
HE0004 K-44380,,Idle End,13
HE0004 K-44380,,Idle Start,12
HE0004 K-44380,Count: 9,,Sum: 563
HE0005 K-44326,,,
HE0006 C-17632,,,
HE0006 C-17632,,Heartbeat,22
HE0006 C-17632,,Command Response,2
HE0006 C-17632,Count: 2,,Sum: 24
HE0007 C-15214,,,
HE0007 C-15214,,Journey Periodic,468
HE0007 C-15214,,Ignition On,6
HE0007 C-15214,,Tag In,5
HE0007 C-15214,,Heartbeat,14
HE0007 C-15214,,Tag Out,5
HE0007 C-15214,,Ignition Off,6
HE0007 C-15214,,Command Response,1
HE0007 C-15214,Count: 7,,Sum: 505
HE0008 A-51907,,,
HE0008 A-51907,,Ignition Off,11
HE0008 A-51907,,Journey Periodic,118
HE0008 A-51907,,Idle Start,7
HE0008 A-51907,,Ignition On,11
HE0008 A-51907,,Heartbeat,14
HE0008 A-51907,,Idle End,5
HE0008 A-51907,Count: 6,,Sum: 166
HE0009 B-34259,,,
HE0009 B-34259,,Journey Periodic,365
HE0009 B-34259,,Tag In,17
HE0009 B-34259,,Ignition On,20
HE0009 B-34259,,Tag Out,18
HE0009 B-34259,,Ignition Off,19
HE0009 B-34259,,Power Up,6
HE0009 B-34259,,External Power Restore,6
HE0009 B-34259,,External Power Loss,8
HE0009 B-34259,,Idle End,8
HE0009 B-34259,,Idle Start,8
HE0009 B-34259,,Heartbeat,10
HE0009 B-34259,Count: 11,,Sum: 485
HE0010 E-56117,,,
HE0010 E-56117,,Journey Periodic,591
HE0010 E-56117,,Idle Start,19
HE0010 E-56117,,Idle End,19
HE0010 E-56117,,Power Up,11
HE0010 E-56117,,Tag In,6
HE0010 E-56117,,Ignition On,8
HE0010 E-56117,,External Power Restore,12
HE0010 E-56117,,External Power Loss,13
HE0010 E-56117,,Ignition Off,8
HE0010 E-56117,,Tag Out,6
HE0010 E-56117,,Heartbeat,7
HE0010 E-56117,Count: 11,,Sum: 700
HE0011 F-56833,,,
HE0011 F-56833,,Journey Periodic,491
HE0011 F-56833,,Idle Start,18
HE0011 F-56833,,Idle End,9
HE0011 F-56833,,Ignition On,10
HE0011 F-56833,,Tag In,10
HE0011 F-56833,,Heartbeat,14
HE0011 F-56833,,Tag Out,9
HE0011 F-56833,,Ignition Off,9
HE0011 F-56833,Count: 8,,Sum: 570
HE0012 F-58305,,,
HE0012 F-58305,,Heartbeat,13
HE0012 F-58305,,Tag Out,4
HE0012 F-58305,,Ignition Off,4
HE0012 F-58305,,Journey Periodic,8
HE0012 F-58305,,Idle Start,1
HE0012 F-58305,,Ignition On,4
HE0012 F-58305,,Tag In,4
HE0012 F-58305,Count: 7,,Sum: 38
HE0013 F-58892,,,
HE0013 F-58892,,Journey Periodic,496
HE0013 F-58892,,Idle Start,25
HE0013 F-58892,,Idle End,21
HE0013 F-58892,,Ignition On,7
HE0013 F-58892,,Tag In,7
HE0013 F-58892,,Heartbeat,14
HE0013 F-58892,,Tag Out,7
HE0013 F-58892,,Ignition Off,7
HE0013 F-58892,Count: 8,,Sum: 584
HE0014 F-58762,,,
HE0014 F-58762,,Journey Periodic,492
HE0014 F-58762,,Idle Start,28
HE0014 F-58762,,Idle End,21
HE0014 F-58762,,Ignition On,15
HE0014 F-58762,,Tag In,20
HE0014 F-58762,,Heartbeat,13
HE0014 F-58762,,Tag Out,19
HE0014 F-58762,,Ignition Off,15
HE0014 F-58762,,Power Up,6
HE0014 F-58762,Count: 9,,Sum: 629
HE0015 F-57187,,,
HE0015 F-57187,,Journey Periodic,369
HE0015 F-57187,,Ignition On,20
HE0015 F-57187,,Tag In,19
HE0015 F-57187,,Tag Out,18
HE0015 F-57187,,Ignition Off,19
HE0015 F-57187,,Idle End,13
HE0015 F-57187,,Idle Start,14
HE0015 F-57187,,Heartbeat,14
HE0015 F-57187,Count: 8,,Sum: 486
HE0016 F-57966,,,
HE0016 F-57966,,Idle Start,32
HE0016 F-57966,,Journey Periodic,539
HE0016 F-57966,,Idle End,31
HE0016 F-57966,,Power Up,7
HE0016 F-57966,,Ignition On,12
HE0016 F-57966,,Tag In,10
HE0016 F-57966,,Tag Out,10
HE0016 F-57966,,Ignition Off,11
HE0016 F-57966,,Heartbeat,5
HE0016 F-57966,Count: 9,,Sum: 657
HE0017 F-54276,,,
HE0017 F-54276,,Idle End,30
HE0017 F-54276,,Journey Periodic,522
HE0017 F-54276,,Idle Start,39
HE0017 F-54276,,External Power Restore,2
HE0017 F-54276,,Ignition On,37
HE0017 F-54276,,External Power Loss,2
HE0017 F-54276,,Ignition Off,36
HE0017 F-54276,,Heartbeat,14
HE0017 F-54276,,Tag Out,4
HE0017 F-54276,,Tag In,4
HE0017 F-54276,Count: 10,,Sum: 690
HE0018 F-59050,,,
HE0018 F-59050,,Position Report,3511
HE0018 F-59050,,Journey Periodic,810
HE0018 F-59050,,Idle End,48
HE0018 F-59050,,Idle Start,53
HE0018 F-59050,,Ignition On,11
HE0018 F-59050,,Tag In,10
HE0018 F-59050,,Heartbeat,14
HE0018 F-59050,,Tag Out,10
HE0018 F-59050,,Ignition Off,11
HE0018 F-59050,,External Power Restore,1
HE0018 F-59050,,External Power Loss,1
HE0018 F-59050,Count: 11,,Sum: 4480
HE0019 N-51705,,,
HE0019 N-51705,,Heartbeat,13
HE0019 N-51705,,Ignition Off,17
HE0019 N-51705,,Journey Periodic,182
HE0019 N-51705,,Idle End,10
HE0019 N-51705,,Idle Start,12
HE0019 N-51705,,Ignition On,16
HE0019 N-51705,,External Power Restore,1
HE0019 N-51705,,External Power Loss,1
HE0019 N-51705,Count: 8,,Sum: 252
HE0020 N-51862,,,
HE0020 N-51862,,External Power Loss,44
HE0020 N-51862,,Tag In,39
HE0020 N-51862,,Tag Out,40
HE0020 N-51862,,External Power Restore,35
HE0020 N-51862,,Heartbeat,14
HE0020 N-51862,,Power Up,4
HE0020 N-51862,,Command Response,1
HE0020 N-51862,Count: 7,,Sum: 177
HE0021 N-51682,,,
HE0021 N-51682,,Heartbeat,14
HE0021 N-51682,,External Power Restore,1
HE0021 N-51682,,External Power Loss,1
HE0021 N-51682,Count: 3,,Sum: 16
HE0022 D-57491,,,
HE0022 D-57491,,Journey Periodic,666
HE0022 D-57491,,Idle End,28
HE0022 D-57491,,Idle Start,28
HE0022 D-57491,,Ignition On,20
HE0022 D-57491,,Heartbeat,15
HE0022 D-57491,,Ignition Off,20
HE0022 D-57491,Count: 6,,Sum: 777
HE0023 B-49369,,,
HE0023 B-49369,,Heartbeat,13
HE0023 B-49369,,Tag Out,2
HE0023 B-49369,,Ignition Off,2
HE0023 B-49369,,Ignition On,2
HE0023 B-49369,,Tag In,2
HE0023 B-49369,,Journey Periodic,2
HE0023 B-49369,Count: 6,,Sum: 23
HE0024 M - 52987,,,
HE0024 M - 52987,,Journey Periodic,469
HE0024 M - 52987,,Idle Start,39
HE0024 M - 52987,,Idle End,30
HE0024 M - 52987,,Power Up,5
HE0024 M - 52987,,Ignition On,19
HE0024 M - 52987,,Tag In,17
HE0024 M - 52987,,Tag Out,17
HE0024 M - 52987,,Ignition Off,19
HE0024 M - 52987,,Heartbeat,5
HE0024 M - 52987,Count: 9,,Sum: 620
HE0025 B-13226,,,
HE0025 B-13226,,Journey Periodic,729
HE0025 B-13226,,Idle End,58
HE0025 B-13226,,Idle Start,60
HE0025 B-13226,,External Power Restore,1
HE0025 B-13226,,Ignition On,17
HE0025 B-13226,,External Power Loss,1
HE0025 B-13226,,Tag In,17
HE0025 B-13226,,Heartbeat,14
HE0025 B-13226,,Tag Out,17
HE0025 B-13226,,Ignition Off,17
HE0025 B-13226,Count: 10,,Sum: 931
HE0026 Q-10349,,,
HE0026 Q-10349,,Journey Periodic,774
HE0026 Q-10349,,Idle End,21
HE0026 Q-10349,,Idle Start,23
HE0026 Q-10349,,Tag In,18
HE0026 Q-10349,,Ignition On,26
HE0026 Q-10349,,Heartbeat,14
HE0026 Q-10349,,Ignition Off,26
HE0026 Q-10349,,Tag Out,18
HE0026 Q-10349,Count: 8,,Sum: 920
HE0027 Q-35233,,,
HE0027 Q-35233,,Heartbeat,14
HE0027 Q-35233,,Ignition Off,41
HE0027 Q-35233,,Ignition On,40
HE0027 Q-35233,,Journey Periodic,602
HE0027 Q-35233,,Tag Out,7
HE0027 Q-35233,,Idle End,21
HE0027 Q-35233,,Idle Start,23
HE0027 Q-35233,,Tag In,6
HE0027 Q-35233,,External Power Restore,1
HE0027 Q-35233,,External Power Loss,1
HE0027 Q-35233,Count: 10,,Sum: 756
HE0028 P-27910,,,
HE0028 P-27910,,Journey Periodic,548
HE0028 P-27910,,Ignition On,37
HE0028 P-27910,,Tag In,38
HE0028 P-27910,,Tag Out,38
HE0028 P-27910,,Ignition Off,36
HE0028 P-27910,,Heartbeat,14
HE0028 P-27910,,Idle Start,31
HE0028 P-27910,,Idle End,30
HE0028 P-27910,,External Power Restore,2
HE0028 P-27910,,External Power Loss,2
HE0028 P-27910,,Command Response,1
HE0028 P-27910,Count: 11,,Sum: 777
HE0029 H-44329,,,
HE0029 H-44329,,Tag Out,1
HE0029 H-44329,,Ignition Off,20
HE0029 H-44329,,Journey Periodic,445
HE0029 H-44329,,Ignition On,20
HE0029 H-44329,,Tag In,1
HE0029 H-44329,,Heartbeat,13
HE0029 H-44329,,Idle End,19
HE0029 H-44329,,Idle Start,21
HE0029 H-44329,Count: 8,,Sum: 540
HE0030 H-63423,,,
HE0030 H-63423,,Journey Periodic,38
HE0030 H-63423,,Idle End,2
HE0030 H-63423,,Idle Start,2
HE0030 H-63423,,Ignition On,4
HE0030 H-63423,,Tag In,4
HE0030 H-63423,,Heartbeat,43
HE0030 H-63423,,Tag Out,3
HE0030 H-63423,,Ignition Off,3
HE0030 H-63423,,External Power Restore,10
HE0030 H-63423,,External Power Loss,10
HE0030 H-63423,Count: 10,,Sum: 119
HE0031 E-52498,,,
HE0031 E-52498,,Journey Periodic,375
HE0031 E-52498,,Idle Start,8
HE0031 E-52498,,Ignition On,6
HE0031 E-52498,,Tag In,6
HE0031 E-52498,,Heartbeat,14
HE0031 E-52498,,Tag Out,6
HE0031 E-52498,,Ignition Off,6
HE0031 E-52498,,Idle End,4
HE0031 E-52498,,Power Up,1
HE0031 E-52498,Count: 9,,Sum: 426
HE0032 G-17136,,,
HE0032 G-17136,,Journey Periodic,597
HE0032 G-17136,,Idle Start,40
HE0032 G-17136,,Idle End,30
HE0032 G-17136,,Ignition On,35
HE0032 G-17136,,Tag In,35
HE0032 G-17136,,Tag Out,35
HE0032 G-17136,,Ignition Off,35
HE0032 G-17136,,Heartbeat,14
HE0032 G-17136,Count: 8,,Sum: 821
HE0033 G-11932,,,
HE0033 G-11932,,Journey Periodic,633
HE0033 G-11932,,Ignition On,21
HE0033 G-11932,,Tag In,17
HE0033 G-11932,,Tag Out,17
HE0033 G-11932,,Ignition Off,21
HE0033 G-11932,,Idle Start,45
HE0033 G-11932,,Idle End,39
HE0033 G-11932,,Power Up,6
HE0033 G-11932,,Heartbeat,5
HE0033 G-11932,Count: 9,,Sum: 804
HE0034 A-85349,,,
HE0034 A-85349,,Journey Periodic,580
HE0034 A-85349,,Ignition On,28
HE0034 A-85349,,Ignition Off,28
HE0034 A-85349,,Tag In,28
HE0034 A-85349,,Tag Out,28
HE0034 A-85349,,Heartbeat,14
HE0034 A-85349,,External Power Restore,3
HE0034 A-85349,,External Power Loss,3
HE0034 A-85349,Count: 8,,Sum: 712
HE0035-13720,,,
HE0035-13720,,Journey Periodic,402
HE0035-13720,,Idle Start,29
HE0035-13720,,Ignition On,13
HE0035-13720,,Tag In,11
HE0035-13720,,Heartbeat,14
HE0035-13720,,Tag Out,10
HE0035-13720,,Ignition Off,12
HE0035-13720,,Idle End,19
HE0035-13720,Count: 8,,Sum: 510
HE0036 I-25459,,,
HE0036 I-25459,,Journey Periodic,730
HE0036 I-25459,,Idle Start,39
HE0036 I-25459,,Ignition On,22
HE0036 I-25459,,Tag In,23
HE0036 I-25459,,Tag Out,23
HE0036 I-25459,,Ignition Off,22
HE0036 I-25459,,Idle End,27
HE0036 I-25459,,Power Up,6
HE0036 I-25459,,External Power Restore,12
HE0036 I-25459,,External Power Loss,13
HE0036 I-25459,,Heartbeat,8
HE0036 I-25459,Count: 11,,Sum: 925
HE0037 M-63169,,,
HE0037 M-63169,,Journey Periodic,82
HE0037 M-63169,,Ignition On,8
HE0037 M-63169,,Tag In,8
HE0037 M-63169,,Tag Out,7
HE0037 M-63169,,Ignition Off,7
HE0037 M-63169,,External Power Restore,1
HE0037 M-63169,,External Power Loss,1
HE0037 M-63169,,Heartbeat,14
HE0037 M-63169,,Command Response,2
HE0037 M-63169,Count: 9,,Sum: 130
HE0038 M-45192,,,
HE0038 M-45192,,Journey Periodic,587
HE0038 M-45192,,Idle Start,44
HE0038 M-45192,,Idle End,41
HE0038 M-45192,,Ignition On,15
HE0038 M-45192,,Tag In,15
HE0038 M-45192,,Tag Out,15
HE0038 M-45192,,Ignition Off,15
HE0038 M-45192,,Heartbeat,14
HE0038 M-45192,Count: 8,,Sum: 746
HE0039 M-12167,,,
HE0039 M-12167,,Journey Periodic,571
HE0039 M-12167,,Power Up,14
HE0039 M-12167,,Ignition On,17
HE0039 M-12167,,Tag In,17
HE0039 M-12167,,Tag Out,17
HE0039 M-12167,,Ignition Off,17
HE0039 M-12167,,Idle End,21
HE0039 M-12167,,Idle Start,21
HE0039 M-12167,,Heartbeat,5
HE0039 M-12167,Count: 9,,Sum: 700
HE0040 I-38012,,,
HE0040 I-38012,,Journey Periodic,501
HE0040 I-38012,,Idle Start,15
HE0040 I-38012,,Idle End,13
HE0040 I-38012,,Power Up,7
HE0040 I-38012,,Tag Out,8
HE0040 I-38012,,Ignition Off,12
HE0040 I-38012,,Ignition On,13
HE0040 I-38012,,Tag In,8
HE0040 I-38012,,Heartbeat,5
HE0040 I-38012,,Command Response,1
HE0040 I-38012,Count: 10,,Sum: 583
HE0042 N-90920,,,
HE0042 N-90920,,Journey Periodic,5
HE0042 N-90920,,Command Response,1
HE0042 N-90920,,Ignition On,1
HE0042 N-90920,,Power Up,9
HE0042 N-90920,,Tag In,3
HE0042 N-90920,,Tag Out,3
HE0042 N-90920,,External Power Restore,4
HE0042 N-90920,,External Power Loss,4
HE0042 N-90920,,Heartbeat,82
HE0042 N-90920,Count: 9,,Sum: 112
HE0044 E-48457,,,
HE0044 E-48457,,Tag Out,19
HE0044 E-48457,,Ignition Off,19
HE0044 E-48457,,Journey Periodic,284
HE0044 E-48457,,Ignition On,18
HE0044 E-48457,,Tag In,18
HE0044 E-48457,,Heartbeat,14
HE0044 E-48457,,External Power Restore,3
HE0044 E-48457,,External Power Loss,3
HE0044 E-48457,Count: 8,,Sum: 378
HE0045 G-16465,,,
HE0045 G-16465,,Ignition On,12
HE0045 G-16465,,External Power Restore,2
HE0045 G-16465,,Tag In,11
HE0045 G-16465,,External Power Loss,3
HE0045 G-16465,,Tag Out,12
HE0045 G-16465,,Journey Summary,11
HE0045 G-16465,,Ignition Off,11
HE0045 G-16465,,Journey Periodic,108
HE0045 G-16465,,Idle End,6
HE0045 G-16465,,Idle Start,6
HE0045 G-16465,,Heartbeat,77
HE0045 G-16465,,Power Up,4
HE0045 G-16465,Count: 12,,Sum: 263
HV0001 O-37297 ST,,,
HV0001 O-37297 ST,,External Power Loss,2
HV0001 O-37297 ST,,Tag Out,2
HV0001 O-37297 ST,,Journey Summary,3
HV0001 O-37297 ST,,Ignition Off,2
HV0001 O-37297 ST,,Journey Periodic,39
HV0001 O-37297 ST,,Idle Start,4
HV0001 O-37297 ST,,Idle End,2
HV0001 O-37297 ST,,Power Up,2
HV0001 O-37297 ST,,Ignition On,2
HV0001 O-37297 ST,,Tag In,2
HV0001 O-37297 ST,,External Power Restore,2
HV0001 O-37297 ST,Count: 11,,Sum: 62
HV0002 O-37296 ST,,,
HV0002 O-37296 ST,,Journey Periodic,2955
HV0002 O-37296 ST,,Overspeed End,109
HV0002 O-37296 ST,,Overspeed Start,109
HV0002 O-37296 ST,,Idle End,38
HV0002 O-37296 ST,,Idle Start,38
HV0002 O-37296 ST,,Ignition On,14
HV0002 O-37296 ST,,Journey Summary,14
HV0002 O-37296 ST,,Ignition Off,14
HV0002 O-37296 ST,,Heartbeat,14
HV0002 O-37296 ST,,Harsh Cornering,13
HV0002 O-37296 ST,,Tag Out,1
HV0002 O-37296 ST,,Power Up,2
HV0002 O-37296 ST,,Tag In,1
HV0002 O-37296 ST,Count: 13,,Sum: 3322
HV0008 P-41462 WT,,,
HV0008 P-41462 WT,,Journey Periodic,3535
HV0008 P-41462 WT,,Idle End,50
HV0008 P-41462 WT,,Idle Start,49
HV0008 P-41462 WT,,Ignition On,8
HV0008 P-41462 WT,,Tag In,8
HV0008 P-41462 WT,,Heartbeat,13
HV0008 P-41462 WT,,Tag Out,8
HV0008 P-41462 WT,,Journey Summary,8
HV0008 P-41462 WT,,Ignition Off,8
HV0008 P-41462 WT,,Power Up,1
HV0008 P-41462 WT,,External Power Restore,1
HV0008 P-41462 WT,,External Power Loss,1
HV0008 P-41462 WT,Count: 12,,Sum: 3690
HV0009 P-41465 WT,,,
HV0009 P-41465 WT,,Journey Periodic,3076
HV0009 P-41465 WT,,Ignition On,19
HV0009 P-41465 WT,,Tag In,18
HV0009 P-41465 WT,,Tag Out,18
HV0009 P-41465 WT,,Journey Summary,19
HV0009 P-41465 WT,,Ignition Off,19
HV0009 P-41465 WT,,Heartbeat,14
HV0009 P-41465 WT,,Idle End,36
HV0009 P-41465 WT,,Idle Start,36
HV0009 P-41465 WT,Count: 9,,Sum: 3255
HV0010 P-41467 WT,,,
HV0010 P-41467 WT,,Journey Periodic,3393
HV0010 P-41467 WT,,Ignition On,12
HV0010 P-41467 WT,,Tag In,12
HV0010 P-41467 WT,,Tag Out,12
HV0010 P-41467 WT,,Journey Summary,12
HV0010 P-41467 WT,,Ignition Off,12
HV0010 P-41467 WT,,Idle Start,41
HV0010 P-41467 WT,,Heartbeat,14
HV0010 P-41467 WT,,Idle End,38
HV0010 P-41467 WT,,Harsh Cornering,1
HV0010 P-41467 WT,Count: 10,,Sum: 3547
HV0011 P-41476 WT,,,
HV0011 P-41476 WT,,Ignition Off,11
HV0011 P-41476 WT,,External Power Loss,2
HV0011 P-41476 WT,,Journey Periodic,2065
HV0011 P-41476 WT,,Idle End,16
HV0011 P-41476 WT,,Idle Start,20
HV0011 P-41476 WT,,Ignition On,9
HV0011 P-41476 WT,,Tag In,9
HV0011 P-41476 WT,,Heartbeat,13
HV0011 P-41476 WT,,Tag Out,9
HV0011 P-41476 WT,,Journey Summary,9
HV0011 P-41476 WT,,Power Up,1
HV0011 P-41476 WT,,External Power Restore,1
HV0011 P-41476 WT,Count: 12,,Sum: 2165
HV0012 B-62495 WT,,,
HV0012 B-62495 WT,,Heartbeat,13
HV0012 B-62495 WT,,Tag Out,2
HV0012 B-62495 WT,,Journey Summary,3
HV0012 B-62495 WT,,Ignition Off,3
HV0012 B-62495 WT,,Journey Periodic,9
HV0012 B-62495 WT,,Power Up,9
HV0012 B-62495 WT,,Ignition On,3
HV0012 B-62495 WT,,Tag In,2
HV0012 B-62495 WT,Count: 8,,Sum: 44
HV0013 A-18265 WT,,,
HV0013 A-18265 WT,,Journey Periodic,1967
HV0013 A-18265 WT,,Idle End,27
HV0013 A-18265 WT,,Idle Start,29
HV0013 A-18265 WT,,Ignition On,26
HV0013 A-18265 WT,,Tag In,26
HV0013 A-18265 WT,,Heartbeat,14
HV0013 A-18265 WT,,Tag Out,25
HV0013 A-18265 WT,,Journey Summary,25
HV0013 A-18265 WT,,Ignition Off,26
HV0013 A-18265 WT,,Power Up,4
HV0013 A-18265 WT,Count: 10,,Sum: 2169
HV0014 P-41361 WT,,,
HV0014 P-41361 WT,,Journey Periodic,3480
HV0014 P-41361 WT,,Idle End,33
HV0014 P-41361 WT,,Idle Start,34
HV0014 P-41361 WT,,Ignition On,12
HV0014 P-41361 WT,,Tag In,12
HV0014 P-41361 WT,,Heartbeat,14
HV0014 P-41361 WT,,Tag Out,12
HV0014 P-41361 WT,,Journey Summary,12
HV0014 P-41361 WT,,Ignition Off,12
HV0014 P-41361 WT,Count: 9,,Sum: 3621
HV0015 P-41360 WT,,,
HV0016 E-19525 TT,,,
HV0016 E-19525 TT,,Tag Out,25
HV0016 E-19525 TT,,Journey Summary,25
HV0016 E-19525 TT,,Ignition Off,25
HV0016 E-19525 TT,,Journey Periodic,1214
HV0016 E-19525 TT,,Ignition On,24
HV0016 E-19525 TT,,Tag In,24
HV0016 E-19525 TT,,Idle End,4
HV0016 E-19525 TT,,Idle Start,5
HV0016 E-19525 TT,,Harsh Deceleration,2
HV0016 E-19525 TT,,Heartbeat,14
HV0016 E-19525 TT,,Overspeed End,5
HV0016 E-19525 TT,,Overspeed Start,5
HV0016 E-19525 TT,,Power Up,4
HV0016 E-19525 TT,,Harsh Acceleration,1
HV0016 E-19525 TT,,Harsh Cornering,1
HV0016 E-19525 TT,Count: 15,,Sum: 1378
HV0017 B-62890 ST,,,
HV0017 B-62890 ST,,Journey Periodic,3670
HV0017 B-62890 ST,,Idle End,46
HV0017 B-62890 ST,,Idle Start,53
HV0017 B-62890 ST,,Harsh Cornering,21
HV0017 B-62890 ST,,Ignition On,17
HV0017 B-62890 ST,,Tag In,16
HV0017 B-62890 ST,,Tag Out,16
HV0017 B-62890 ST,,Journey Summary,16
HV0017 B-62890 ST,,Ignition Off,16
HV0017 B-62890 ST,,Heartbeat,14
HV0017 B-62890 ST,,Harsh Acceleration,2
HV0017 B-62890 ST,,Overspeed End,2
HV0017 B-62890 ST,,Overspeed Start,2
HV0017 B-62890 ST,,Power Up,1
HV0017 B-62890 ST,,Harsh Deceleration,1
HV0017 B-62890 ST,Count: 15,,Sum: 3893
HV0018 P-12679 WT,,,
HV0018 P-12679 WT,,Journey Periodic,3797
HV0018 P-12679 WT,,Ignition On,9
HV0018 P-12679 WT,,Tag In,9
HV0018 P-12679 WT,,Heartbeat,14
HV0018 P-12679 WT,,Tag Out,9
HV0018 P-12679 WT,,Journey Summary,9
HV0018 P-12679 WT,,Ignition Off,9
HV0018 P-12679 WT,,Harsh Acceleration,1
HV0018 P-12679 WT,Count: 8,,Sum: 3857
HV0019 P-12680 WT,,,
HV0019 P-12680 WT,,Journey Periodic,3965
HV0019 P-12680 WT,,Ignition On,9
HV0019 P-12680 WT,,Tag In,9
